"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
130;"Montecchia di Crosara";01/01/1992;17/01/2018;"AGRO";51;"MONTECCHIA DI CROSARA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1678543.785;5037577.486;45.46870625;11.28367553;"ADIGE: VENETO";"ADIGE";"Vene-B Alto Brenta-Bacchiglione-Alpone";
131;"Vangadizza (Legnago)";11/10/2001;;"AGRO";12;"LEGNAGO (VR)";"VR";"BFOGL, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1679844.451;5003003.162;45.15740933;11.28774164;"FISS.TAR.C.BIANCO";"PIAVE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
132;"Pescul";01/12/2001;;"METEO";1402;"SELVA DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1735786.071;5147226.344;46.4371972;12.06900907;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
133;"Cerea";01/11/1991;11/10/2001;"AGRO";16;"CEREA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1675501;5008843;45.21102978;11.23458093;"FISS.TAR.C.BIANCO";"PIAVE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
134;"Malo";01/02/1992;;"AGRO";98;"MALO (VI)";"VI";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1691985.467;5060282.519;45.66931288;11.46439144;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-B Alto Brenta-Bacchiglione-Alpone";
135;"Rifugio la Guardia (Recoaro Terme)";02/11/1991;;"METEO";1130;"RECOARO TERME (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1669785.742;5065150.862;45.71889138;11.18131677;"BRENTA: VENETO";"BRENTA - Agno - Guà";"Vene-B Alto Brenta-Bacchiglione-Alpone";
136;"Sappada";01/10/1997;;"METEO";1265;"SAPPADA (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1784183;5164164;46.57067886;12.7081344;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
137;"Valli del Pasubio";03/12/1991;;"METEO";602;"VALLI DEL PASUBIO (VI)";"VI";"DRAFF5M, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1672182.737;5069540.963;45.75778254;11.21365428;"BRENTA: VENETO";"BRENTA: LEOGRA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
138;"Buso della Neve";01/11/1991;31/08/1997;"METEO";1858;"ROANA (VI)";"VI";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1686800;5088647;45.9257948;11.40885206;"BRENTA: VENETO";"BRENTA - Val d'Assa";"Vene-B Alto Brenta-Bacchiglione-Alpone";
139;"Lusiana";01/11/1991;;"METEO";767;"LUSIANA CONCO (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1701210;5073345;45.78414598;11.58812049;"BRENTA: VENETO";"BRENTA: VALD'ASTICO";"Vene-B Alto Brenta-Bacchiglione-Alpone";
140;"Passo Santa Caterina (Valdagno)";01/11/1991;;"METEO";807;"VALDAGNO (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1676150.145;5054312.593;45.6198264;11.25910319;"BRENTA: VENETO";"BRENTA - Bacchiglione - Agno";"Vene-B Alto Brenta-Bacchiglione-Alpone";
141;"Padova - Orto Botanico MICROS";01/10/1993;01/01/2002;"AGRO";12;"PADOVA (PD)";"PD";"DVENTO2M, DVENTO5M, PREC, PRESS, RADSOL, TARIA2M, TSUOLO, UMID2M, VSFIL5M, VVENTO2M, VVMEDARIT2M";1725474;5031372;45.39934476;11.88049409;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
142;"Faedo (Cinto Euganeo)";01/09/1994;;"AGRO";250;"CINTO EUGANEO (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, ET0, HUMIDEX2M, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1711521.295;5020363.087;45.30471743;11.69771962;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
143;"Lastebasse";01/12/1991;31/10/1997;"METEO";1392;"LASTEBASSE (VI)";"VI";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT2M";1675449.102;5085537.005;45.90080812;11.26149229;"BRENTA: VENETO";"BRENTA: VALD'ASTICO";"Vene-B Alto Brenta-Bacchiglione-Alpone";
144;"Rosa'";01/11/1991;;"AGRO";88;"ROSA' (VI)";"VI";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, LFREAT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1716095;5066330;45.71658505;11.77625641;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
145;"Barbarano Vicentino";01/02/1991;;"AGRO";16;"BARBARANO MOSSANO (VI)";"VI";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1701220.172;5030372.636;45.39775173;11.57053751;"BRENTA: VENETO";"BRENTA - Musone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
146;"Trissino";01/02/1992;;"AGRO";264;"TRISSINO (VI)";"VI";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1683984;5050025;45.57923698;11.35788495;"BRENTA: VENETO";"BRENTA - Musone";"Vene-B Alto Brenta-Bacchiglione-Alpone";
147;"Breganze";01/12/1991;;"AGRO";196;"BREGANZE (VI)";"VI";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1700518.647;5066235.074;45.72042777;11.57629665;"BRENTA: VENETO";"BRENTA: VALD'ASTICO";"Vene-B Alto Brenta-Bacchiglione-Alpone";
148;"Brendola";01/12/1991;;"AGRO";80;"BRENDOLA (VI)";"VI";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1693036.753;5038382.979;45.472092;11.46922467;"BRENTA: VENETO";"BRENTA - Musone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
149;"Montegalda";01/12/1991;;"AGRO";22;"MONTEGALDA (VI)";"VI";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA, TARIA2M, TARIAMAX, TARIAMAX2M, TARIAMIN, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VISIB, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1708187.6;5036362.286;45.44957583;11.66198536;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
150;"Noventa Vicentina";01/12/1991;27/01/2016;"AGRO";13;"NOVENTA VICENTINA (VI)";"VI";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1701381.224;5015567.979;45.2645703;11.56657613;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
151;"Masi";01/05/1994;;"AGRO";9;"MASI (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1695161.436;4999004.169;45.11740196;11.48088305;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
152;"Balduina (Sant'Urbano)";01/05/1994;;"AGRO";7;"SANT'URBANO (PD)";"PD";"BFOGL, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1703223.341;5001186.28;45.13472648;11.58415552;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
153;"Quinto Vicentino";01/12/1991;28/05/2017;"AGRO";34;"QUINTO VICENTINO (VI)";"VI";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1705276.297;5049567.964;45.5691686;11.63033359;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-B Alto Brenta-Bacchiglione-Alpone";
154;"Astico a Velo d'Astico";20/05/1992;19/07/2017;"IDRO";253;"VELO D'ASTICO (VI)";"VI";"LIDRO, LIDRO, LIDROMAX, LIDROMIN";1684784.073;5074674.894;45.80069645;11.37751003;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
155;"Boccon di Vo'";01/09/1994;03/05/2002;"AGRO";92;"VO (PD)";"PD";"BFOGL, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1708327.838;5021771.051;45.3183314;11.65762284;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
156;"Crespano del Grappa";01/09/2002;;"METEO";404;"PIEVE DEL GRAPPA (TV)";"TV";"DVENTO10M, DVENTO10M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1720613.246;5080406.556;45.84169964;11.84066348;"BRENTA: VENETO";"BRENTA - Muson dei Sassi";"Vene-B Alto Brenta-Bacchiglione-Alpone";
159;"Portogruaro - Lison";01/02/1992;;"AGRO";2;"PORTOGRUARO (VE)";"VE";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1792602.086;5072674.756;45.74548888;12.76128681;"LEMENE: VENETO";"LEMENE";"Vene-G Livenza, Lemene e Tagliamento";
160;"Cavallino Treporti";01/02/1992;;"AGRO";1;"CAVALLINO TREPORTI (VE)";"VE";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, UV, UV, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1772598.51;5039845.609;45.45871531;12.48626171;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
163;"Noventa di Piave - Grassaga";01/02/1992;;"AGRO";1;"NOVENTA DI PIAVE (VE)";"VE";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1779549.393;5063494.425;45.66841156;12.58851069;"PIANURA TRA LIVENZA E PIAVE";"PIAVE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
164;"Eraclea";01/02/1992;;"AGRO";-1;"ERACLEA (VE)";"VE";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1789119.182;5056666.995;45.60316601;12.70706142;"PIANURA TRA LIVENZA E PIAVE";"PIAVE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
165;"Fossalta di Portogruaro";01/02/1992;;"AGRO";3;"FOSSALTA DI PORTOGRUARO (VE)";"VE";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1802758.801;5076523.391;45.77566742;12.89394125;"LEMENE: VENETO";"LEMENE: ROGGIA LUGUGNANA - TAGLIO NUOVO";"Vene-G Livenza, Lemene e Tagliamento";
166;"Lugugnana (Portogruaro)";01/02/1992;;"AGRO";0;"PORTOGRUARO (VE)";"VE";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1807248;5068864;45.70491156;12.94668823;"LEMENE: VENETO";"LEMENE: ROGGIA LUGUGNANA - TAGLIO NUOVO";"Vene-G Livenza, Lemene e Tagliamento";
167;"Mira";01/02/1992;;"AGRO";3;"MIRA (VE)";"VE";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1743805.888;5036506.366;45.43934709;12.1169216;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
168;"Chioggia - Sant'Anna";01/02/1992;;"AGRO";0;"CHIOGGIA (VE)";"VE";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1757569.505;5004448.537;45.14632401;12.27596996;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
169;"Agna";02/02/1992;;"AGRO";1;"AGNA (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1732500.309;5004919.995;45.15926189;11.95775646;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
170;"Teolo";02/02/1992;;"AGRO";155;"TEOLO (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1709767.071;5024532.344;45.34272761;11.67713457;"BRENTA: VENETO";"BRENTA - Bacchiglione - Gorzone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
171;"Teolo 2 (Staz. di  prova)";01/01/1992;;"AGRO";155;"TEOLO (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ELIOFANIA, INDSEREN, INDSEREN, PREC, PRESS, RADSOL, RADSOL, RADSOL, TARIA, TARIA, TARIA, TARIA2M, TARIAMAX, TARIAMAX, TARIAMAX2M, TARIAMAX50CM, TARIAMIN, TARIAMIN2M, TARIAMIN50CM, TARIAMIN5M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID2M, UMID2M, UMID2M, UMID2M, UMID2M, VRAFFICA, VRAFFICA10M, VRAFFICA2M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO, VVENTO, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1709767;5024532;45.34272761;11.67713457;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
172;"Ca' Bianca (Chioggia)";01/01/1996;01/02/2003;"METEO";-2;"CHIOGGIA (VE)";"VE";"LIDRO, LIDRO, PREC";1751033.33;5008925.215;45.1889115;12.1952122;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
174;"Galzignano Terme";01/02/1992;15/10/2004;"AGRO";19;"GALZIGNANO (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1714488;5020149;45.30189239;11.73542544;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
175;"Codevigo";01/02/1992;;"AGRO";0;"CODEVIGO (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1743297;5014716;45.24367259;12.09970856;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
176;"San Pietro Viminario";01/03/1992;03/04/2006;"AGRO";7;"SAN PIETRO VIMINARIO (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1721214;5012297;45.22921339;11.81761336;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
177;"Grantorto";01/12/1991;;"AGRO";32;"GRANTORTO (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, LFREAT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1714687;5052726;45.59472035;11.75218331;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
178;"Cavarzere";01/01/1996;;"AGRO";-2;"CAVARZERE (VE)";"VE";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, LIDRO, LIDRO, PREC, RADSOL, TARIA10M, TARIA2M, TARIAMAX10M, TARIAMAX2M, TARIAMIN10M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1742665;5005550;45.16150338;12.08720348;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
